Searching for counterexample to Bound 44
Time budget: 3600s | Restart budget: 120s
Max nodes: 100
Sparse init: random trees at n=40-60
============================================================

--- Restart 1 | 3600s remaining ---
  Starting from random tree: n=60
AMCS start | n=60 e=59 | score=-2.677395
  iter    1 | t=   0.0s | IMPROVED +0.000022 -> -2.677373 | n=60 e=61 | depth=0 level=1
  iter    2 | t=   0.0s | IMPROVED +0.008387 -> -2.668986 | n=60 e=63 | depth=0 level=1
  iter    3 | t=   0.0s | IMPROVED +0.004076 -> -2.664910 | n=60 e=65 | depth=0 level=1
  iter    4 | t=   0.0s | IMPROVED +0.052251 -> -2.612659 | n=60 e=67 | depth=0 level=1
  iter    5 | t=   0.0s | IMPROVED +0.047391 -> -2.565268 | n=60 e=69 | depth=0 level=1
  iter    6 | t=   0.0s | IMPROVED +0.275904 -> -2.289364 | n=60 e=71 | depth=0 level=1
  iter    7 | t=   0.0s | IMPROVED +0.001380 -> -2.287984 | n=60 e=73 | depth=0 level=1
  iter    8 | t=   0.1s | IMPROVED +0.020175 -> -2.267809 | n=60 e=75 | depth=0 level=1
  iter    9 | t=   0.1s | IMPROVED +0.086272 -> -2.181537 | n=60 e=77 | depth=0 level=1
  iter   10 | t=   0.1s | IMPROVED +0.004009 -> -2.177527 | n=60 e=79 | depth=0 level=1
  iter   11 | t=   0.1s | IMPROVED +0.088373 -> -2.089155 | n=61 e=81 | depth=0 level=1
  iter   12 | t=   0.1s | IMPROVED +0.002690 -> -2.086465 | n=61 e=83 | depth=0 level=1
  iter   13 | t=   0.1s | IMPROVED +0.025191 -> -2.061274 | n=61 e=85 | depth=0 level=1
  iter   14 | t=   0.1s | IMPROVED +0.076513 -> -1.984761 | n=61 e=87 | depth=0 level=1
  iter   15 | t=   0.1s | IMPROVED +0.000246 -> -1.984515 | n=62 e=89 | depth=0 level=1
  iter   16 | t=   0.1s | IMPROVED +0.043985 -> -1.940530 | n=62 e=91 | depth=0 level=1
  iter   17 | t=   0.1s | IMPROVED +0.132503 -> -1.808027 | n=62 e=93 | depth=0 level=1
  iter   18 | t=   0.2s | IMPROVED +0.003472 -> -1.804555 | n=63 e=95 | depth=0 level=1
  iter   19 | t=   0.2s | IMPROVED +0.160505 -> -1.644050 | n=63 e=97 | depth=0 level=1
  iter   20 | t=   0.2s | IMPROVED +0.008571 -> -1.635479 | n=63 e=99 | depth=0 level=1
  iter   21 | t=   0.2s | IMPROVED +0.000528 -> -1.634950 | n=63 e=101 | depth=0 level=1
  iter   22 | t=   0.2s | IMPROVED +0.042064 -> -1.592887 | n=63 e=103 | depth=0 level=1
  iter   23 | t=   0.2s | IMPROVED +0.002133 -> -1.590753 | n=63 e=105 | depth=0 level=1
  iter   24 | t=   0.2s | IMPROVED +0.007138 -> -1.583615 | n=63 e=107 | depth=0 level=1
  iter   25 | t=   0.2s | IMPROVED +0.001947 -> -1.581668 | n=64 e=109 | depth=0 level=1
  iter   26 | t=   0.2s | IMPROVED +0.071831 -> -1.509836 | n=64 e=111 | depth=0 level=1
  iter   27 | t=   0.2s | IMPROVED +0.002658 -> -1.507178 | n=64 e=113 | depth=0 level=1
  iter   28 | t=   0.3s | IMPROVED +0.013071 -> -1.494108 | n=65 e=115 | depth=0 level=1
  iter   29 | t=   0.3s | IMPROVED +0.018193 -> -1.475915 | n=65 e=117 | depth=0 level=1
  iter   30 | t=   0.3s | IMPROVED +0.018856 -> -1.457058 | n=65 e=119 | depth=0 level=1
  iter   31 | t=   0.3s | IMPROVED +0.053313 -> -1.403746 | n=65 e=121 | depth=0 level=1
  iter   32 | t=   0.4s | IMPROVED +0.003174 -> -1.400572 | n=65 e=123 | depth=0 level=1
  iter   33 | t=   0.4s | IMPROVED +0.017312 -> -1.383260 | n=65 e=125 | depth=0 level=1
  iter   34 | t=   0.4s | IMPROVED +0.022935 -> -1.360325 | n=65 e=127 | depth=0 level=1
  iter   35 | t=   0.4s | IMPROVED +0.040800 -> -1.319525 | n=65 e=129 | depth=0 level=1
  iter   36 | t=   0.4s | IMPROVED +0.042383 -> -1.277142 | n=65 e=131 | depth=0 level=1
  iter   37 | t=   0.5s | IMPROVED +0.000065 -> -1.277077 | n=66 e=133 | depth=0 level=1
  iter   38 | t=   0.6s | IMPROVED +0.009492 -> -1.267585 | n=66 e=135 | depth=0 level=1
  iter   39 | t=   0.7s | IMPROVED +0.011060 -> -1.256524 | n=66 e=137 | depth=0 level=1
  iter   40 | t=   0.7s | IMPROVED +0.000140 -> -1.256384 | n=66 e=139 | depth=0 level=1
  iter   41 | t=   0.8s | IMPROVED +0.009659 -> -1.246726 | n=66 e=141 | depth=0 level=1
  iter   42 | t=   0.8s | IMPROVED +0.000616 -> -1.246110 | n=67 e=143 | depth=0 level=1
  iter   43 | t=   1.1s | IMPROVED +0.015688 -> -1.230422 | n=68 e=145 | depth=0 level=1
  iter   44 | t=   1.4s | IMPROVED +0.003840 -> -1.226582 | n=68 e=147 | depth=0 level=1
  iter   45 | t=   1.6s | IMPROVED +0.020984 -> -1.205597 | n=68 e=149 | depth=0 level=1
  iter   46 | t=   1.7s | IMPROVED +0.009205 -> -1.196392 | n=69 e=151 | depth=0 level=1
  iter   47 | t=   2.1s | IMPROVED +0.000943 -> -1.195449 | n=70 e=153 | depth=0 level=1
  iter   48 | t=   2.6s | IMPROVED +0.001335 -> -1.194113 | n=71 e=155 | depth=0 level=1
  iter   49 | t=   2.9s | IMPROVED +0.008986 -> -1.185128 | n=72 e=157 | depth=0 level=1
  iter   50 | t=   3.3s | IMPROVED +0.027909 -> -1.157218 | n=72 e=159 | depth=0 level=1
  iter   51 | t=   3.4s | IMPROVED +0.009692 -> -1.147527 | n=74 e=161 | depth=0 level=1
  iter   52 | t=   3.7s | IMPROVED +0.010301 -> -1.137226 | n=74 e=163 | depth=0 level=1
  iter   53 | t=   3.8s | IMPROVED +0.002308 -> -1.134918 | n=74 e=165 | depth=0 level=1
  iter   54 | t=   3.8s | IMPROVED +0.004148 -> -1.130770 | n=75 e=167 | depth=0 level=1
  iter   55 | t=   5.3s | IMPROVED +0.001024 -> -1.129745 | n=75 e=169 | depth=0 level=1
  iter   56 | t=   5.5s | IMPROVED +0.001347 -> -1.128398 | n=75 e=171 | depth=0 level=1
  iter   57 | t=   5.9s | IMPROVED +0.002021 -> -1.126377 | n=76 e=173 | depth=0 level=1
  iter   58 | t=   6.0s | IMPROVED +0.010191 -> -1.116185 | n=78 e=175 | depth=0 level=1
  iter   59 | t=   6.0s | IMPROVED +0.000743 -> -1.115443 | n=78 e=177 | depth=0 level=1
  iter   60 | t=   6.6s | IMPROVED +0.001115 -> -1.114328 | n=78 e=179 | depth=0 level=1
  iter   61 | t=   9.2s | IMPROVED +0.000457 -> -1.113871 | n=80 e=181 | depth=0 level=1
  iter   62 | t=   9.6s | IMPROVED +0.002519 -> -1.111352 | n=80 e=183 | depth=0 level=1
  iter   63 | t=  10.1s | IMPROVED +0.004591 -> -1.106760 | n=82 e=185 | depth=0 level=1
  iter   64 | t=  11.5s | IMPROVED +0.001885 -> -1.104876 | n=83 e=187 | depth=0 level=1
