Tabu Search for counterexample to Bound 44
Time budget: 1800s | Start n=15 | Restarts=5
============================================================

============================================================
Restart 1/5 | n=15 e=21 density=0.2 | budget=360s
============================================================
Tabu Search start | n=15 e=21 | score=-1.198410
  iter     1 | t=    0.0s | NEW BEST=-1.19264288 | n=15 e=21 | neighbors=1
  iter     1 | t=    0.0s | NEW BEST=-1.16632118 | n=15 e=21 | neighbors=4
  iter     1 | t=    0.0s | NEW BEST=-0.86415186 | n=15 e=21 | neighbors=6
  iter     1 | t=    0.0s | NEW BEST=-0.75688054 | n=15 e=21 | neighbors=14
  iter     1 | t=    0.1s | NEW BEST=-0.62763612 | n=15 e=21 | neighbors=177
  iter     2 | t=    0.2s | NEW BEST=-0.56180639 | n=15 e=21 | neighbors=24
  iter     2 | t=    0.2s | NEW BEST=-0.55564228 | n=15 e=21 | neighbors=55
  iter     2 | t=    0.3s | NEW BEST=-0.53466229 | n=15 e=21 | neighbors=208
  iter     3 | t=    0.4s | NEW BEST=-0.50757144 | n=15 e=21 | neighbors=159
  iter     4 | t=    0.6s | NEW BEST=-0.44725901 | n=15 e=21 | neighbors=19
  iter     4 | t=    0.6s | NEW BEST=-0.43602080 | n=15 e=21 | neighbors=121
  iter     5 | t=    0.8s | NEW BEST=-0.41289824 | n=15 e=21 | neighbors=36
  iter     5 | t=    0.8s | NEW BEST=-0.39783483 | n=15 e=21 | neighbors=117
  iter     5 | t=    0.8s | NEW BEST=-0.39339310 | n=15 e=21 | neighbors=154
  iter     5 | t=    0.8s | NEW BEST=-0.33362133 | n=15 e=21 | neighbors=206
  iter     5 | t=    0.8s | NEW BEST=-0.31375097 | n=15 e=21 | neighbors=215
  iter     5 | t=    0.9s | NEW BEST=-0.30331745 | n=15 e=21 | neighbors=229
  iter     5 | t=    0.9s | NEW BEST=-0.29443452 | n=15 e=21 | neighbors=432
  iter     6 | t=    1.0s | NEW BEST=-0.26231615 | n=15 e=21 | neighbors=115
  iter     6 | t=    1.1s | NEW BEST=-0.25928377 | n=15 e=21 | neighbors=304
  iter     6 | t=    1.1s | NEW BEST=-0.25462057 | n=15 e=21 | neighbors=398
  iter     7 | t=    1.2s | NEW BEST=-0.17628962 | n=15 e=21 | neighbors=62
  iter     8 | t=    1.3s | NEW BEST=-0.16884160 | n=15 e=21 | neighbors=29
  iter     9 | t=    1.5s | NEW BEST=-0.05350956 | n=15 e=21 | neighbors=69
  iter    10 | t=    1.7s | NEW BEST=-0.05338690 | n=15 e=21 | neighbors=100
  iter    10 | t=    1.7s | NEW BEST=-0.05315666 | n=15 e=21 | neighbors=218
  iter    11 | t=    1.9s | NEW BEST=-0.05315666 | n=15 e=21 | neighbors=252
  iter    50 | t=    7.9s | current=-0.053157 best=-0.053157 | n=15 e=21 | tabu=50
  iter   100 | t=   15.6s | current=-0.053510 best=-0.053157 | n=15 e=21 | tabu=50
  iter   147 | t=   22.8s | NEW BEST=-0.05315666 | n=15 e=21 | neighbors=216
  iter   150 | t=   23.3s | current=-0.053157 best=-0.053157 | n=15 e=21 | tabu=50
  iter   200 | t=   31.9s | current=-0.119081 best=-0.053157 | n=15 e=21 | tabu=50
  iter   250 | t=   40.1s | current=-0.122286 best=-0.053157 | n=15 e=21 | tabu=50
  iter   300 | t=   48.4s | current=-0.122286 best=-0.053157 | n=15 e=21 | tabu=50
  iter   350 | t=   56.5s | current=-0.053157 best=-0.053157 | n=15 e=21 | tabu=50
  iter   400 | t=   64.2s | current=-0.122348 best=-0.053157 | n=15 e=21 | tabu=50
  iter   450 | t=   71.9s | current=-0.053510 best=-0.053157 | n=15 e=21 | tabu=50
  iter   500 | t=   79.6s | current=-0.053387 best=-0.053157 | n=15 e=21 | tabu=50
  iter   550 | t=   87.6s | current=-0.118793 best=-0.053157 | n=15 e=21 | tabu=50
  iter   600 | t=   96.3s | current=-0.113278 best=-0.053157 | n=15 e=21 | tabu=50
  iter   650 | t=  104.7s | current=-0.053387 best=-0.053157 | n=15 e=21 | tabu=50
  iter   700 | t=  112.6s | current=-0.053387 best=-0.053157 | n=15 e=21 | tabu=50
  iter   750 | t=  120.4s | current=-0.053157 best=-0.053157 | n=15 e=21 | tabu=50
  iter   800 | t=  128.1s | current=-0.090243 best=-0.053157 | n=15 e=21 | tabu=50
  iter   850 | t=  135.8s | current=-0.090243 best=-0.053157 | n=15 e=21 | tabu=50
  iter   900 | t=  143.5s | current=-0.090478 best=-0.053157 | n=15 e=21 | tabu=50
  iter   950 | t=  151.3s | current=-0.090243 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1000 | t=  159.0s | current=-0.090478 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1050 | t=  166.7s | current=-0.090478 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1100 | t=  174.4s | current=-0.090243 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1150 | t=  182.2s | current=-0.090243 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1200 | t=  190.4s | current=-0.090478 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1250 | t=  198.1s | current=-0.090243 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1300 | t=  205.9s | current=-0.090350 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1350 | t=  213.6s | current=-0.090478 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1400 | t=  221.3s | current=-0.090243 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1450 | t=  228.9s | current=-0.090320 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1500 | t=  236.9s | current=-0.090557 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1550 | t=  244.7s | current=-0.090243 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1600 | t=  252.4s | current=-0.090320 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1650 | t=  260.1s | current=-0.090478 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1700 | t=  267.8s | current=-0.090320 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1750 | t=  275.5s | current=-0.090243 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1800 | t=  283.2s | current=-0.090562 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1850 | t=  290.9s | current=-0.090320 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1900 | t=  298.6s | current=-0.090478 best=-0.053157 | n=15 e=21 | tabu=50
  iter  1950 | t=  306.3s | current=-0.090320 best=-0.053157 | n=15 e=21 | tabu=50
  iter  2000 | t=  314.0s | current=-0.090320 best=-0.053157 | n=15 e=21 | tabu=50
  iter  2050 | t=  321.8s | current=-0.090350 best=-0.053157 | n=15 e=21 | tabu=50
  iter  2100 | t=  329.5s | current=-0.090243 best=-0.053157 | n=15 e=21 | tabu=50
  iter  2150 | t=  337.2s | current=-0.090320 best=-0.053157 | n=15 e=21 | tabu=50
  iter  2200 | t=  344.9s | current=-0.090243 best=-0.053157 | n=15 e=21 | tabu=50
  iter  2250 | t=  352.7s | current=-0.090320 best=-0.053157 | n=15 e=21 | tabu=50
Tabu Search done | 360.1s | 2298 iterations | best=-0.05315666

============================================================
Restart 2/5 | n=15 e=31 density=0.3 | budget=360s
============================================================
Tabu Search start | n=15 e=31 | score=-2.212154
  iter     1 | t=    0.0s | NEW BEST=-2.13024660 | n=15 e=31 | neighbors=1
  iter     1 | t=    0.0s | NEW BEST=-2.12917824 | n=15 e=31 | neighbors=5
  iter     1 | t=    0.0s | NEW BEST=-2.01431408 | n=15 e=31 | neighbors=12
  iter     1 | t=    0.0s | NEW BEST=-1.98474031 | n=15 e=31 | neighbors=83
